market_id,market_label,volume_usd,log_volume,n_events,n_whale,n_retail,whale_abs_dp,retail_abs_dp,whale_effect,rel_whale_effect
253591,253591,1531479284.504353,9.185111126714713,90759,233,90526,0.0601094420600858,0.0342297903364779,0.025879651723607906,0.01905587003713538
253597,253597,1037039118.18879,9.01579513873534,89730,66,89664,0.03930303030303027,0.03431586255353315,0.004987167749497118,0.027983587828800727
511754,511754,400409526.886835,8.602504402036953,59,0,59,,0.32944915254237284,,
253727,253727,163779786.645492,8.214260301026254,2370,48,2322,0.05153124999999992,0.04508850129198961,0.006442748708010308,0.01423779193205943
253706,253706,119932620.818624,8.07893732417209,2416,48,2368,0.06137499999999999,0.04395185810810809,0.017423141891891904,0.023702708333333364
253697,253697,57519438.44,7.759814637395692,1415,31,1384,0.1630645161290322,0.15381105491329475,0.009253461215737446,0.04505695110662289
254432,254432,19510179.2052032,7.290261258501307,411,34,377,0.04426470588235291,0.0573806366047745,-0.013115930722421593,0.004154007945781711
255396,255396,15917754.336328,7.201881797815373,710,0,710,,0.01646478873239436,,0.0008206528807387127
255398,255398,14968970.920633,7.175191944708275,675,13,662,0.01692307692307684,0.018957703927492377,-0.002034627004415538,-0.002962406015037604
253750,253750,13226512.33,7.121445341124846,53,0,53,,0.024056603773584862,,
255151,255151,12960333.136703,7.112616164927505,1013,5,1008,0.027000000000000003,0.035114087301587285,-0.008114087301587282,
253254,253254,12622418.42,7.101142572486294,238,10,228,0.022999999999999923,0.0505701754385964,-0.027570175438596474,-0.027570175438596474
253722,253722,12582924.999919,7.0997816080143386,75,0,75,,0.037133333333333296,,
255152,255152,12519682.451836,7.097593313605696,1013,0,1013,,0.039239881539980245,,
255143,255143,10404102.083081,7.01720460476002,363,0,363,,0.046597796143250686,,
254253,254253,8909465.21794603,6.949851636711926,459,0,459,,0.02970588235294117,,0.005424107142857158
254248,254248,8771933.14124493,6.943095312871074,153,0,153,,0.06539215686274508,,
255144,255144,8427215.034753,6.925684075826444,363,0,363,,0.043732782369145975,,
254577,254577,8337156.91915808,6.9210179757183505,153,4,149,0.08099999999999995,0.04546979865771807,0.035530201342281874,
254233,254233,952525.115194008,5.978876435524949,103,0,103,,0.03878640776699025,,
254765,254765,950842.179577,5.978108438886213,63,0,63,,0.07603174603174605,,
253913,253913,914028.817601999,5.960959888434308,40,0,40,,0.12275,,
254092,254092,843811.73,5.92624555830453,20,0,20,,0.12049999999999997,,
255449,255449,684107.752029,5.835124511699719,12,0,12,,0.03458333333333332,,
254046,254046,649853.54,5.8128154890475745,10,0,10,,0.05749999999999994,,
254764,254764,637553.559766,5.804516674962859,63,0,63,,0.08301587301587292,,
253220,253220,620031.71,5.792413900991578,91,0,91,,0.022967032967032956,,
252682,252682,584829.03,5.767028922184918,104,0,104,,0.5621346153846154,,
254232,254232,576292.261939002,5.760642788209234,103,0,103,,0.03509708737864077,,
251254,251254,573122.72,5.758247625304803,70,0,70,,0.158,,
255392,255392,571862.405931001,5.757291547091576,50,0,50,,0.06073999999999996,,
254426,254426,551481.302668,5.741530792776636,31,0,31,,0.038903225806451586,,
255347,255347,545065.67519,5.736448833752257,12,0,12,,0.06333333333333331,,
253858,253858,543678.285412,5.735341987564759,14,0,14,,0.03428571428571427,,
253942,253942,494113.822074001,5.69382700277933,19,0,19,,0.03894736842105262,,
254410,254410,490789.37,5.690895147778811,24,0,24,,0.2774999999999999,,
253990,253990,474792.37,5.676503731147081,11,2,9,0.07375000000000001,0.06361111111111106,0.010138888888888947,
254425,254425,473880.33,5.675668682217547,25,0,25,,0.6567999999999999,,
254093,254093,420917.37,5.624196848151196,24,0,24,,0.4747916666666668,,
255393,255393,417554.332143005,5.620712993866724,53,0,53,,0.056066037735849034,,
240383,240383,86512.57,4.937079213650072,32,0,32,,0.03781249999999998,,
253165,253165,85478.68,4.931857806974222,12,0,12,,0.5675,,
253268,253268,79976.83,4.902964186234221,10,0,10,,0.049,,
254059,254059,75194.72,4.876187346504278,13,0,13,,0.655,,
253294,253294,68884.16,4.838119366820893,29,1,28,0.0354999999999999,0.2032678571428572,-0.1677678571428573,
254004,254004,9837.05,3.992864878837326,28,0,28,,0.3791785714285713,,
254671,254671,7087.95,3.850520645278446,13,0,13,,0.1969230769230769,,
252563,252563,601.93,2.779545988963227,25,0,25,,0.44999999999999984,,
